,0
0,104.0
1,104.0
2,102.0
3,102.0
4,108.0
5,108.0
6,86.0
7,101.0
8,79.0
9,78.0
10,85.0
11,85.0
12,85.0
13,81.0
14,83.0
15,83.0
16,84.0
17,84.0
18,75.0
19,75.0
20,75.0
21,80.0
22,67.0
23,64.0
24,60.0
25,62.0
26,62.0
27,60.0
28,60.0
29,60.0
30,51.0
31,51.0
32,55.0
33,50.0
34,50.0
35,50.0
36,50.0
37,56.0
38,64.0
39,64.0
40,54.0
41,54.0
42,53.0
43,49.0
44,51.0
45,47.0
46,49.0
47,50.0
48,50.0
49,50.0
50,48.0
51,48.0
52,48.0
53,48.0
54,48.0
55,47.0
56,47.0
57,47.0
58,52.0
59,45.0
60,45.0
61,45.0
62,45.0
63,46.0
64,46.0
65,46.0
66,46.0
67,46.0
68,46.0
69,46.0
70,46.0
71,41.0
72,42.0
73,42.0
74,42.0
75,42.0
76,42.0
77,42.0
78,42.0
79,40.0
80,41.0
81,41.0
82,41.0
83,41.0
84,39.0
85,39.0
86,39.0
87,39.0
88,37.0
89,37.0
90,36.0
91,36.0
92,36.0
93,36.0
94,36.0
95,36.0
96,35.0
97,35.0
98,35.0
99,35.0
100,35.0
101,33.0
102,33.0
103,33.0
104,33.0
105,33.0
106,32.0
107,31.0
108,33.0
109,33.0
110,33.0
111,32.0
112,32.0
113,32.0
114,30.0
115,29.0
116,29.0
117,29.0
118,29.0
119,27.0
120,30.0
121,30.0
122,30.0
123,29.0
124,26.0
125,26.0
126,26.0
127,26.0
128,26.0
129,25.0
130,25.0
131,29.0
132,29.0
133,29.0
134,29.0
135,29.0
136,26.0
137,26.0
138,23.0
139,23.0
140,23.0
141,24.0
142,23.0
143,23.0
144,23.0
145,22.0
146,22.0
147,22.0
148,22.0
149,22.0
150,22.0
151,21.0
152,21.0
153,21.0
154,21.0
155,21.0
156,21.0
157,20.0
158,20.0
159,20.0
160,20.0
161,20.0
162,20.0
163,20.0
164,19.0
165,18.0
166,18.0
167,18.0
168,18.0
169,17.0
170,17.0
171,17.0
172,17.0
173,17.0
174,17.0
175,17.0
176,16.0
177,16.0
178,16.0
179,16.0
180,14.0
181,14.0
182,14.0
183,14.0
184,14.0
185,14.0
186,14.0
187,14.0
188,14.0
189,14.0
190,14.0
191,14.0
192,14.0
193,14.0
194,14.0
195,14.0
196,14.0
197,14.0
198,13.0
199,13.0
200,13.0
201,12.0
202,12.0
203,12.0
204,12.0
205,12.0
206,12.0
207,12.0
208,12.0
209,12.0
210,11.0
211,11.0
212,11.0
213,11.0
214,11.0
215,11.0
216,11.0
217,11.0
218,11.0
219,11.0
220,11.0
221,11.0
222,10.0
223,10.0
224,10.0
225,10.0
226,10.0
227,10.0
228,10.0
229,10.0
230,10.0
231,10.0
232,10.0
233,10.0
234,10.0
235,10.0
236,10.0
237,10.0
238,9.0
239,9.0
240,9.0
241,9.0
242,9.0
243,9.0
244,9.0
245,9.0
246,9.0
247,9.0
248,9.0
249,9.0
250,9.0
251,9.0
252,9.0
253,9.0
254,9.0
255,9.0
256,9.0
257,9.0
258,9.0
259,9.0
260,9.0
261,9.0
262,9.0
263,9.0
264,9.0
265,9.0
266,9.0
267,9.0
268,9.0
269,9.0
270,9.0
271,9.0
272,9.0
273,8.0
274,8.0
275,8.0
276,8.0
277,8.0
278,8.0
279,8.0
280,8.0
281,8.0
282,8.0
283,8.0
284,8.0
285,8.0
286,8.0
287,8.0
288,8.0
289,8.0
290,8.0
291,8.0
292,8.0
293,8.0
294,8.0
295,8.0
296,8.0
297,8.0
298,8.0
299,8.0
300,8.0
301,8.0
302,8.0
303,8.0
304,8.0
305,8.0
306,8.0
307,8.0
308,8.0
309,8.0
310,8.0
311,8.0
312,8.0
313,7.0
314,7.0
315,7.0
316,7.0
317,7.0
318,7.0
319,7.0
320,7.0
321,7.0
322,7.0
323,7.0
324,6.0
325,6.0
326,6.0
327,6.0
328,6.0
329,6.0
330,6.0
331,6.0
332,6.0
