,0
0,123.0
1,126.0
2,126.0
3,130.0
4,132.0
5,131.0
6,131.0
7,128.0
8,113.0
9,129.0
10,110.0
11,123.0
12,118.0
13,127.0
14,127.0
15,126.0
16,124.0
17,124.0
18,114.0
19,114.0
20,125.0
21,128.0
22,128.0
23,117.0
24,117.0
25,111.0
26,111.0
27,120.0
28,120.0
29,119.0
30,119.0
31,119.0
32,119.0
33,119.0
34,107.0
35,107.0
36,106.0
37,102.0
38,102.0
39,102.0
40,102.0
41,100.0
42,100.0
43,100.0
44,101.0
45,102.0
46,102.0
47,102.0
48,102.0
49,102.0
50,101.0
51,101.0
52,101.0
53,101.0
54,100.0
55,94.0
56,94.0
57,94.0
58,93.0
59,90.0
60,90.0
61,88.0
62,88.0
63,89.0
64,89.0
65,89.0
66,84.0
67,84.0
68,84.0
69,84.0
70,84.0
71,84.0
72,81.0
73,87.0
74,87.0
75,87.0
76,79.0
77,79.0
78,79.0
79,79.0
80,79.0
81,79.0
82,80.0
83,80.0
84,79.0
85,77.0
86,77.0
87,77.0
88,77.0
89,77.0
90,76.0
91,76.0
92,76.0
93,75.0
94,75.0
95,75.0
96,79.0
97,79.0
98,76.0
99,76.0
100,76.0
101,72.0
102,74.0
103,75.0
104,76.0
105,76.0
106,76.0
107,76.0
108,75.0
109,75.0
110,73.0
111,73.0
112,73.0
113,75.0
114,73.0
115,76.0
116,71.0
117,71.0
118,71.0
119,71.0
120,71.0
121,70.0
122,70.0
123,70.0
124,70.0
125,70.0
126,74.0
127,67.0
128,66.0
129,72.0
130,69.0
131,70.0
132,70.0
133,70.0
134,72.0
135,66.0
136,66.0
137,66.0
138,66.0
139,67.0
140,67.0
141,67.0
142,66.0
143,66.0
144,66.0
145,66.0
146,66.0
147,66.0
148,66.0
149,66.0
150,66.0
151,66.0
152,65.0
153,65.0
154,65.0
155,64.0
156,64.0
157,65.0
158,63.0
159,63.0
160,63.0
161,63.0
162,62.0
163,64.0
164,64.0
165,63.0
166,63.0
167,62.0
168,59.0
169,62.0
170,64.0
171,64.0
172,64.0
173,62.0
174,59.0
175,59.0
176,59.0
177,60.0
178,60.0
179,60.0
180,56.0
181,56.0
182,56.0
183,56.0
184,56.0
185,54.0
186,54.0
187,54.0
188,54.0
189,54.0
190,54.0
191,54.0
192,54.0
193,54.0
194,56.0
195,56.0
196,56.0
197,56.0
198,56.0
199,56.0
200,56.0
201,56.0
202,56.0
203,55.0
204,55.0
205,55.0
206,54.0
207,56.0
208,56.0
209,56.0
210,56.0
211,56.0
212,56.0
213,55.0
214,55.0
215,55.0
216,53.0
217,53.0
218,53.0
219,53.0
220,53.0
221,53.0
222,53.0
223,53.0
224,53.0
225,53.0
226,53.0
227,52.0
228,52.0
229,52.0
230,54.0
231,54.0
232,52.0
233,52.0
234,52.0
235,52.0
236,51.0
237,54.0
238,54.0
239,54.0
240,53.0
241,53.0
242,52.0
243,52.0
244,52.0
245,52.0
246,51.0
247,51.0
248,50.0
249,50.0
250,50.0
251,50.0
252,49.0
253,49.0
254,47.0
255,47.0
256,47.0
257,47.0
258,47.0
259,47.0
260,47.0
261,47.0
262,52.0
263,52.0
264,52.0
265,48.0
266,48.0
267,48.0
268,48.0
269,48.0
270,48.0
271,48.0
272,48.0
273,48.0
274,48.0
275,48.0
276,49.0
277,49.0
278,49.0
279,48.0
280,48.0
281,48.0
282,47.0
283,47.0
284,47.0
285,47.0
286,47.0
287,47.0
288,47.0
289,47.0
290,46.0
291,46.0
292,46.0
293,46.0
294,46.0
295,46.0
296,46.0
297,46.0
298,46.0
299,46.0
300,46.0
301,46.0
302,46.0
303,46.0
304,45.0
305,45.0
