,0
0,133.0
1,125.0
2,124.0
3,132.0
4,144.0
5,144.0
6,129.0
7,128.0
8,126.0
9,121.0
10,112.0
11,114.0
12,114.0
13,124.0
14,110.0
15,114.0
16,115.0
17,115.0
18,104.0
19,104.0
20,107.0
21,114.0
22,108.0
23,108.0
24,105.0
25,100.0
26,100.0
27,100.0
28,101.0
29,102.0
30,104.0
31,104.0
32,103.0
33,101.0
34,100.0
35,102.0
36,100.0
37,100.0
38,100.0
39,110.0
40,108.0
41,108.0
42,101.0
43,106.0
44,106.0
45,98.0
46,98.0
47,95.0
48,95.0
49,100.0
50,97.0
51,97.0
52,100.0
53,93.0
54,93.0
55,89.0
56,88.0
57,93.0
58,91.0
59,94.0
60,85.0
61,85.0
62,88.0
63,88.0
64,87.0
65,92.0
66,84.0
67,84.0
68,84.0
69,84.0
70,89.0
71,79.0
72,78.0
73,84.0
74,81.0
75,81.0
76,81.0
77,81.0
78,78.0
79,78.0
80,79.0
81,81.0
82,77.0
83,79.0
84,78.0
85,72.0
86,72.0
87,76.0
88,76.0
89,76.0
90,76.0
91,65.0
92,64.0
93,70.0
94,69.0
95,69.0
96,69.0
97,69.0
98,66.0
99,68.0
100,65.0
101,65.0
102,65.0
103,65.0
104,70.0
105,68.0
106,62.0
107,62.0
108,62.0
109,60.0
110,60.0
111,62.0
112,62.0
113,61.0
114,58.0
115,58.0
116,56.0
117,56.0
118,56.0
119,57.0
120,57.0
121,57.0
122,58.0
123,58.0
124,53.0
125,53.0
126,53.0
127,52.0
128,52.0
129,52.0
130,59.0
131,59.0
132,58.0
133,51.0
134,54.0
135,48.0
136,48.0
137,48.0
138,48.0
139,48.0
140,48.0
141,47.0
142,47.0
143,47.0
144,47.0
145,46.0
146,46.0
147,46.0
148,46.0
149,49.0
150,50.0
151,50.0
152,50.0
153,48.0
154,47.0
155,47.0
156,46.0
157,46.0
158,46.0
159,46.0
160,46.0
161,45.0
162,45.0
163,48.0
164,48.0
165,48.0
166,48.0
167,45.0
168,45.0
169,47.0
170,47.0
171,47.0
172,46.0
173,46.0
174,46.0
175,46.0
176,45.0
177,45.0
178,45.0
179,45.0
180,45.0
181,45.0
182,45.0
183,44.0
184,44.0
185,44.0
186,41.0
187,41.0
188,41.0
189,41.0
190,41.0
191,41.0
192,41.0
193,41.0
194,41.0
195,41.0
196,39.0
197,40.0
198,40.0
199,40.0
200,40.0
201,36.0
202,36.0
203,36.0
204,38.0
205,38.0
206,36.0
207,36.0
208,36.0
209,36.0
210,36.0
211,36.0
212,36.0
213,36.0
214,36.0
215,36.0
216,33.0
217,36.0
218,36.0
219,36.0
220,36.0
221,36.0
222,38.0
223,38.0
224,38.0
225,38.0
226,38.0
227,38.0
228,36.0
229,34.0
230,35.0
231,35.0
232,35.0
233,35.0
234,39.0
235,39.0
236,32.0
237,32.0
238,32.0
239,35.0
240,35.0
241,35.0
242,35.0
243,34.0
244,34.0
245,34.0
246,34.0
247,34.0
248,34.0
249,34.0
250,34.0
251,34.0
252,34.0
253,34.0
254,33.0
255,33.0
256,33.0
257,34.0
258,34.0
259,31.0
260,31.0
261,32.0
262,32.0
263,32.0
264,32.0
265,32.0
266,32.0
267,32.0
268,32.0
269,32.0
270,32.0
271,31.0
272,30.0
273,32.0
274,32.0
275,31.0
276,31.0
277,31.0
278,31.0
279,31.0
280,31.0
281,31.0
282,31.0
283,30.0
284,30.0
285,30.0
286,30.0
287,29.0
288,29.0
289,29.0
290,29.0
